Number,Corpus ,Noun
11690,BAWE,criticism
11691,BAWE,voices
11692,BAWE,others
11693,BAWE,use
11694,BAWE,Latin
11695,BAWE,attack
11696,BAWE,Parliament
11697,BAWE,sentence
11698,BAWE,readers
11699,BAWE,Latin
11700,BAWE,section
11701,BAWE,insults
11702,BAWE,indication
11703,BAWE,risk
11704,BAWE,royalist
11705,BAWE,propaganda
11706,BAWE,anonymity
11707,BAWE,publisher
11708,BAWE,Rites
11709,BAWE,Writing
11710,BAWE,p.
11711,BAWE,publisher
11712,BAWE,name
11713,BAWE,work
11714,BAWE,danger
11715,BAWE,practices
11716,BAWE,income
11717,BAWE,reputation
11718,BAWE,anonymity
11719,BAWE,Royalists
11720,BAWE,work
11721,BAWE,King
11722,BAWE,royalist
11723,BAWE,activity
11724,BAWE,disregard
11725,BAWE,authority
11726,BAWE,rebellion
11727,BAWE,Interregnum
11728,BAWE,Tragedie
11729,BAWE,King
11730,BAWE,writer
11731,BAWE,Parliamentarians
11732,BAWE,pretence
11733,BAWE,nation
11734,BAWE,progression
11735,BAWE,destruction
11736,BAWE,play
11737,BAWE,prologue
11738,BAWE,writer
11739,BAWE,italics
11740,BAWE,term
11741,BAWE,Parliamentarians
11742,BAWE,practices
11743,BAWE,Reformation
11744,BAWE,King
11745,BAWE,author
11746,BAWE,readership
11747,BAWE,termination
11748,BAWE,life
11749,BAWE,step
11750,BAWE,nation
11751,BAWE,term
11752,BAWE,reformation
11753,BAWE,disguise
11754,BAWE,motives
11755,BAWE,practices
11756,BAWE,parliament
11757,BAWE,public
11758,BAWE,complexity
11759,BAWE,theatres
11760,BAWE,grounds
11761,BAWE,times
11762,BAWE,sports
11763,BAWE,piece
11764,BAWE,satire
11765,BAWE,period
11766,BAWE,writer
11767,BAWE,others
11768,BAWE,contempt
11769,BAWE,decision
11770,BAWE,return
11771,BAWE,past
11772,BAWE,constraints
11773,BAWE,readership
11774,BAWE,audience
11775,BAWE,devices
11776,BAWE,play
11777,BAWE,inset
11778,BAWE,masque
11779,BAWE,soliloquy
11780,BAWE,devices
11781,BAWE,intention
11782,BAWE,text
11783,BAWE,Parliament
11784,BAWE,authority
11785,BAWE,aggravation
11786,BAWE,Reformists
11787,BAWE,characters
11788,BAWE,play
11789,BAWE,writer
11790,BAWE,voices
11791,BAWE,contempt
11792,BAWE,Ignorance
11793,BAWE,Reformists
11794,BAWE,project
11795,BAWE,Theaters
11796,BAWE,ground
11797,BAWE,use
11798,BAWE,antithesis
11799,BAWE,criticism
11800,BAWE,effect
11801,BAWE,Reform
11802,BAWE,nation
11803,BAWE,Parliament
11804,BAWE,transformation
11805,BAWE,customs
11806,BAWE,past
11807,BAWE,Rites
11808,BAWE,Writing
11809,BAWE,p.
11810,BAWE,prologue
11811,BAWE,gentry
11812,BAWE,work
11813,BAWE,outlines
11814,BAWE,author
11815,BAWE,hostility
11816,BAWE,transformation
11817,BAWE,hierarchy
11818,BAWE,monarchy
11819,BAWE,icons
11820,BAWE,court
11821,BAWE,Reformists
11822,BAWE,villaines
11823,BAWE,traditions
11824,BAWE,society
11825,BAWE,argument
11826,BAWE,public
11827,BAWE,support
11828,BAWE,party
11829,BAWE,Parliament
11830,BAWE,design
11831,BAWE,man
11832,BAWE,writer
11833,BAWE,presentation
11834,BAWE,abolition
11835,BAWE,hierarchy
11836,BAWE,ideal
11837,BAWE,structure
11838,BAWE,monarchy
11839,BAWE,regicide
11840,BAWE,crown
11841,BAWE,hypocrisy
11842,BAWE,soliloquy
11843,BAWE,privacy
11844,BAWE,army
11845,BAWE,reader
11846,BAWE,opportunity
11847,BAWE,thoughts
11848,BAWE,compliments
11849,BAWE,skill
11850,BAWE,scenes
11851,BAWE,Buffoone
11852,BAWE,company
11853,BAWE,victim
11854,BAWE,leader
11855,BAWE,contempt
11856,BAWE,General
11857,BAWE,Commander
11858,BAWE,Chief
11859,BAWE,Foole
11860,BAWE,Lord
11861,BAWE,company
11862,BAWE,writer
11863,BAWE,leader
11864,BAWE,men
11865,BAWE,structure
11866,BAWE,monarchy
11867,BAWE,position
11868,BAWE,connection
11869,BAWE,religion
11870,BAWE,politics
11871,BAWE,Patron
11872,BAWE,note
11873,BAWE,work
11874,BAWE,Play
11875,BAWE,Lord
11876,BAWE,tear
11877,BAWE,heart
11878,BAWE,fram
11879,BAWE,Atheist
11880,BAWE,way
11881,BAWE,Patron
11882,BAWE,man
11883,BAWE,stance
11884,BAWE,war
11885,BAWE,indicator
11886,BAWE,sincerity
11887,BAWE,faith
11888,BAWE,war
11889,BAWE,conflicts
11890,BAWE,thinking
11891,BAWE,Royalists
11892,BAWE,Church
11893,BAWE,King
11894,BAWE,Archbishop
11895,BAWE,influence
11896,BAWE,opposition
11897,BAWE,Reformists
11898,BAWE,worship
11899,BAWE,popery
11900,BAWE,Protestantism
11901,BAWE,Church
11902,BAWE,Book
11903,BAWE,Prayer
11904,BAWE,church
11905,BAWE,festivals
11906,BAWE,images
11907,BAWE,saints
11908,BAWE,angels
11909,BAWE,persons
11910,BAWE,Trinity
11911,BAWE,conclusion
11912,BAWE,compromise
11913,BAWE,Parliamentarians
11914,BAWE,Royalists
11915,BAWE,sort
11916,BAWE,Congregationalism
11917,BAWE,episcopacy
11918,BAWE,dismissal
11919,BAWE,settlement
11920,BAWE,number
11921,BAWE,puritans
11922,BAWE,war
11923,BAWE,Prayer-book
11924,BAWE,devotion
11925,BAWE,literature
11926,BAWE,
11927,BAWE,Companion
11928,BAWE,Writing
11929,BAWE,
11930,BAWE,causes
11931,BAWE,course
11932,BAWE,Wars
11933,BAWE,Writing
11934,BAWE,
11935,BAWE,
11936,BAWE,unnaturall
11937,BAWE,crowd
11938,BAWE,Warriours
11939,BAWE,Names
11940,BAWE,horrors
11941,BAWE,death
11942,BAWE,vengeance
11943,BAWE,King
11944,BAWE,writer
11945,BAWE,heroes
11946,BAWE,play
11947,BAWE,appreciation
11948,BAWE,efforts
11949,BAWE,King
11950,BAWE,monarchy
11951,BAWE,time
11952,BAWE,men
11953,BAWE,sacrifices
11954,BAWE,Restoration
11955,BAWE,monarchy
11956,BAWE,text
11957,BAWE,Tragedie
11958,BAWE,foundations
11959,BAWE,potential
11960,BAWE,writer
11961,BAWE,Parliament
11962,BAWE,influence
11963,BAWE,nation
11964,BAWE,Reform
11965,BAWE,transformation
11966,BAWE,Christianity
11967,BAWE,infection
11968,BAWE,hostility
11969,BAWE,interference
11970,BAWE,decade
11971,BAWE,potential
11972,BAWE,rumours
11973,BAWE,boundaries
11974,BAWE,material
11975,BAWE,competition
11976,BAWE,readership
11977,BAWE,writer
11978,BAWE,impact
11979,BAWE,text
11980,BAWE,accusations
11981,BAWE,work
11982,BAWE,Tragedie
11983,BAWE,lack
11984,BAWE,restraint
11985,BAWE,argument
11986,BAWE,desperation
11987,BAWE,position
11988,BAWE,injustice
11989,BAWE,Parliament
11990,BAWE,Works
11991,BAWE,Sources
11992,BAWE,Tragedie
11993,BAWE,King
11994,BAWE,Lord
11995,BAWE,General
11996,BAWE,Siege
11997,BAWE,Poems
11998,BAWE,p.
11999,BAWE,Sources
12000,BAWE,Method
12001,BAWE,Peace
12002,BAWE,Conscience
12003,BAWE,pref.
12004,BAWE,ep.
12005,BAWE,Companion
12006,BAWE,Writing
12007,BAWE,Revolution
12008,BAWE,ed.
12009,BAWE,University
12010,BAWE,Archbishop
12011,BAWE,Calendar
12012,BAWE,Fruit
12013,BAWE,Drama
12014,BAWE,University
12015,BAWE,Press
12016,BAWE,causes
12017,BAWE,course
12018,BAWE,Wars
12019,BAWE,Writing
12020,BAWE,Prayer-book
12021,BAWE,devotion
12022,BAWE,literature
12023,BAWE,
12024,BAWE,Companion
12025,BAWE,Writing
12026,BAWE,
12027,BAWE,definitions
12028,BAWE,building
12029,BAWE,feature
12030,BAWE,building
12031,BAWE,building
12032,BAWE,innovations
12033,BAWE,management
12034,BAWE,return
12035,BAWE,investment
12036,BAWE,definition
12037,BAWE,Symposium
12038,BAWE,Building
12039,BAWE,Building
12040,BAWE,Institute
12041,BAWE,building
12042,BAWE,environment
12043,BAWE,optimization
12044,BAWE,elements
12045,BAWE,structure
12046,BAWE,systems
12047,BAWE,services
12048,BAWE,management
12049,BAWE,interrelationships
12050,BAWE,buildings
12051,BAWE,business
12052,BAWE,owners
12053,BAWE,property
12054,BAWE,managers
12055,BAWE,occupants
12056,BAWE,goals
12057,BAWE,areas
12058,BAWE,cost
12059,BAWE,convenience
12060,BAWE,safety
12061,BAWE,flexibility
12062,BAWE,marketability
12063,BAWE,buildings
12064,BAWE,electronics
12065,BAWE,building
12066,BAWE,organisation
12067,BAWE,business
12068,BAWE,objectives
12069,BAWE,building
12070,BAWE,environment
12071,BAWE,efficiency
12072,BAWE,occupants
12073,BAWE,management
12074,BAWE,resources
12075,BAWE,lifetime
12076,BAWE,costs
12077,BAWE,Building
12078,BAWE,Institute
12079,BAWE,definitions
12080,BAWE,direction
12081,BAWE,building
12082,BAWE,level
12083,BAWE,technology
12084,BAWE,energy
12085,BAWE,existence
12086,BAWE,buildings
12087,BAWE,cost
12088,BAWE,manufacture
12089,BAWE,buildings
12090,BAWE,agencies
12091,BAWE,buildings
12092,BAWE,companies
12093,BAWE,offices
12094,BAWE,companies
12095,BAWE,internationals
12096,BAWE,multinationals
12097,BAWE,establishments
12098,BAWE,schools
12099,BAWE,universities
12100,BAWE,councils
12101,BAWE,governments
12102,BAWE,buildings
12103,BAWE,buildings
12104,BAWE,properties
12105,BAWE,degree
12106,BAWE,features
12107,BAWE,Systems
12108,BAWE,building
12109,BAWE,buildings
12110,BAWE,level
12111,BAWE,technology
12112,BAWE,electronics
12113,BAWE,use
12114,BAWE,technologies
12115,BAWE,groups
12116,BAWE,Energy
12117,BAWE,Efficiency
12118,BAWE,Systems
12119,BAWE,Telecommunication
12120,BAWE,Systems
12121,BAWE,Workplace
12122,BAWE,automation
12123,BAWE,world
12124,BAWE,systems
12125,BAWE,part
12126,BAWE,system
12127,BAWE,system
12128,BAWE,computer
12129,BAWE,hardware
12130,BAWE,software
12131,BAWE,systems
12132,BAWE,source
12133,BAWE,interfaces
12134,BAWE,systems
12135,BAWE,Breakdown
12136,BAWE,groups
12137,BAWE,Energy
12138,BAWE,Efficiency
12139,BAWE,state
12140,BAWE,world
12141,BAWE,energy
12142,BAWE,aim
12143,BAWE,systems
12144,BAWE,energy
12145,BAWE,use
12146,BAWE,minimum
12147,BAWE,building
12148,BAWE,occupier
12149,BAWE,money
12150,BAWE,fuel
12151,BAWE,bills
12152,BAWE,environment
12153,BAWE,schemes
12154,BAWE,energy
12155,BAWE,efficiency
12156,BAWE,start/stop
12157,BAWE,start/stop
12158,BAWE,Duty
12159,BAWE,cycling
12160,BAWE,demand
12161,BAWE,control
12162,BAWE,optimization
12163,BAWE,Boiler
12164,BAWE,optimization
12165,BAWE,energy
12166,BAWE,example
12167,BAWE,start/stop
12168,BAWE,system
12169,BAWE,escalator
12170,BAWE,system
12171,BAWE,escalators
12172,BAWE,shopping
12173,BAWE,centre
12174,BAWE,hours
12175,BAWE,trade
12176,BAWE,timer
12177,BAWE,beginning
12178,BAWE,day
12179,BAWE,end
12180,BAWE,start/stop
12181,BAWE,lighting
12182,BAWE,systems
12183,BAWE,Motion
12184,BAWE,sensors
12185,BAWE,room
12186,BAWE,lights
12187,BAWE,Duty
12188,BAWE,cycling
12189,BAWE,duty
12190,BAWE,cycle
12191,BAWE,ratio
12192,BAWE,cycle
12193,BAWE,time
12194,BAWE,equipment
12195,BAWE,heating
12196,BAWE,thermostat
12197,BAWE,temperature
12198,BAWE,level
12199,BAWE,schemes
12200,BAWE,part
12201,BAWE,control
12202,BAWE,systems
12203,BAWE,control
12204,BAWE,systems
12205,BAWE,Building
12206,BAWE,Automation
12207,BAWE,System
12208,BAWE,Building
12209,BAWE,Energy
12210,BAWE,Management
12211,BAWE,System
12212,BAWE,Energy
12213,BAWE,Management
12214,BAWE,Control
12215,BAWE,System
12216,BAWE,Control
12217,BAWE,Monitoring
12218,BAWE,System
12219,BAWE,Facilities
12220,BAWE,Management
12221,BAWE,System
12222,BAWE,FMS
12223,BAWE,Systems
12224,BAWE,systems
12225,BAWE,health
12226,BAWE,safety
12227,BAWE,buildings
12228,BAWE,occupiers
12229,BAWE,systems
12230,BAWE,television
12231,BAWE,Card
12232,BAWE,access
12233,BAWE,control
12234,BAWE,detection
12235,BAWE,Intrusion
12236,BAWE,alarms
12237,BAWE,Emergency
12238,BAWE,control
12239,BAWE,elevators
12240,BAWE,systems
12241,BAWE,doors
12242,BAWE,power
12243,BAWE,supply
12244,BAWE,UPS
12245,BAWE,systems
12246,BAWE,dependence
12247,BAWE,manpower
12248,BAWE,pair
12249,BAWE,security
12250,BAWE,guards
12251,BAWE,building
12252,BAWE,team
12253,BAWE,intrusion
12254,BAWE,alarms
12255,BAWE,ability
12256,BAWE,building
12257,BAWE,evidence
12258,BAWE,use
12259,BAWE,investigations
12260,BAWE,system
12261,BAWE,Heating
12262,BAWE,Ventilation
12263,BAWE,Air
12264,BAWE,Conditioning
12265,BAWE,Refrigeration
12266,BAWE,UPS
12267,BAWE,system
12268,BAWE,power
12269,BAWE,protection
12270,BAWE,buildings
12271,BAWE,source
12272,BAWE,power
12273,BAWE,equipment
12274,BAWE,effects
12275,BAWE,power
12276,BAWE,disturbances
12277,BAWE,voltage
12278,BAWE,sags
12279,BAWE,surges
12280,BAWE,transients
12281,BAWE,disruptions
12282,BAWE,outages
12283,BAWE,Telecommunication
12284,BAWE,Systems
12285,BAWE,Communication
12286,BAWE,information
12287,BAWE,part
12288,BAWE,life
12289,BAWE,businesses
12290,BAWE,performance
12291,BAWE,turn
12292,BAWE,profits
12293,BAWE,systems
12294,BAWE,communication
12295,BAWE,information
12296,BAWE,people
12297,BAWE,fingertips
12298,BAWE,telephone
12299,BAWE,system
12300,BAWE,Cablevision
12301,BAWE,Branch
12302,BAWE,Exchange
12303,BAWE,telephone
12304,BAWE,network
12305,BAWE,number
12306,BAWE,lines
12307,BAWE,calls
12308,BAWE,line
12309,BAWE,phone
12310,BAWE,users
12311,BAWE,digit
12312,BAWE,number
12313,BAWE,Announcement
12314,BAWE,PA
12315,BAWE,system
12316,BAWE,Cablevision
12317,BAWE,speed
12318,BAWE,Internet
12319,BAWE,cable
12320,BAWE,television
12321,BAWE,voice
12322,BAWE,service
12323,BAWE,Internet
12324,BAWE,information
12325,BAWE,communication
12326,BAWE,tool
12327,BAWE,Information
12328,BAWE,websites
12329,BAWE,communication
12330,BAWE,email
12331,BAWE,messaging
12332,BAWE,services
12333,BAWE,video
12334,BAWE,conferencing
12335,BAWE,videotext
12336,BAWE,system
12337,BAWE,information
12338,BAWE,text
12339,BAWE,pictures
12340,BAWE,Stock
12341,BAWE,Exchange
12342,BAWE,system
12343,BAWE,information
12344,BAWE,stocks
12345,BAWE,shares
12346,BAWE,network
12347,BAWE,computers
12348,BAWE,devices
12349,BAWE,cables
12350,BAWE,wireless
12351,BAWE,transmitters
12352,BAWE,receivers
12353,BAWE,uses
12354,BAWE,access
12355,BAWE,information
12356,BAWE,computers
12357,BAWE,network
12358,BAWE,types
12359,BAWE,Local
12360,BAWE,Area
12361,BAWE,Network
12362,BAWE,LAN
12363,BAWE,Area
12364,BAWE,Network
12365,BAWE,LAN
12366,BAWE,building
12367,BAWE,buildings
12368,BAWE,miles
12369,BAWE,Workplace
12370,BAWE,automation
12371,BAWE,software
12372,BAWE,features
12373,BAWE,Data
12374,BAWE,Processing
12375,BAWE,Word
12376,BAWE,Processing
12377,BAWE,Computer
12378,BAWE,Design
12379,BAWE,Information
12380,BAWE,Services
12381,BAWE,Word
12382,BAWE,processing
12383,BAWE,creation
12384,BAWE,revision
12385,BAWE,storage
12386,BAWE,retrieval
12387,BAWE,transmission
12388,BAWE,correspondence
12389,BAWE,documents
12390,BAWE,documents
12391,BAWE,number
12392,BAWE,ways
12393,BAWE,buildings
12394,BAWE,Internet
12395,BAWE,form
12396,BAWE,courier
12397,BAWE,post
12398,BAWE,Computer
12399,BAWE,Design
12400,BAWE,CAD
12401,BAWE,tool
12402,BAWE,users
12403,BAWE,adjustments
12404,BAWE,modifications
12405,BAWE,design
12406,BAWE,time
12407,BAWE,money
12408,BAWE,saving
12409,BAWE,Building
12410,BAWE,type
12411,BAWE,building
12412,BAWE,property
12413,BAWE,location
12414,BAWE,building
12415,BAWE,location
12416,BAWE,factor
12417,BAWE,factor
12418,BAWE,area
12419,BAWE,Internet
12420,BAWE,access
12421,BAWE,areas
12422,BAWE,availability
12423,BAWE,miles
12424,BAWE,town
12425,BAWE,farm
12426,BAWE,barn
12427,BAWE,dwelling
12428,BAWE,start
12429,BAWE,aches
12430,BAWE,land
12431,BAWE,woodland
12432,BAWE,house
12433,BAWE,level
12434,BAWE,technology
12435,BAWE,comfort
12436,BAWE,ease
12437,BAWE,living
12438,BAWE,entertainment
12439,BAWE,objective
12440,BAWE,energy
12441,BAWE,home
12442,BAWE,uses
12443,BAWE,energy
12444,BAWE,resources
12445,BAWE,materials
12446,BAWE,Structure
12447,BAWE,building
12448,BAWE,area
12449,BAWE,source
12450,BAWE,light
12451,BAWE,room
12452,BAWE,wall
12453,BAWE,room
12454,BAWE,glass
12455,BAWE,light
12456,BAWE,floor
12457,BAWE,rooms
12458,BAWE,house
12459,BAWE,roof
12460,BAWE,light
12461,BAWE,windows
12462,BAWE,light
12463,BAWE,windows
12464,BAWE,house
12465,BAWE,windows
12466,BAWE,windows
12467,BAWE,U-value
12468,BAWE,loss
12469,BAWE,minimum
12470,BAWE,sound
12471,BAWE,reduction
12472,BAWE,security
12473,BAWE,windows
12474,BAWE,titanium
12475,BAWE,dioxide
12476,BAWE,coating
12477,BAWE,glass
12478,BAWE,rays
12479,BAWE,light
12480,BAWE,reaction
12481,BAWE,dirt
12482,BAWE,surface
12483,BAWE,Water
12484,BAWE,dirt
12485,BAWE,sprinkler
12486,BAWE,system
12487,BAWE,precipitation
12488,BAWE,level
12489,BAWE,sprinkler
12490,BAWE,system
12491,BAWE,height
12492,BAWE,summer
12493,BAWE,drought
12494,BAWE,periods
12495,BAWE,timbers
12496,BAWE,source
12497,BAWE,use
12498,BAWE,wood
12499,BAWE,forests
12500,BAWE,bricks
12501,BAWE,roof
12502,BAWE,tiles
12503,BAWE,sources
12504,BAWE,age
12505,BAWE,style
12506,BAWE,building
12507,BAWE,Insulation
12508,BAWE,house
12509,BAWE,insulation
12510,BAWE,walls
12511,BAWE,ceilings
12512,BAWE,roof
12513,BAWE,floor
12514,BAWE,AIR-CELL
12515,BAWE,thermo
12516,BAWE,structure
12517,BAWE,7mm
12518,BAWE,Technology
12519,BAWE,Comfort
12520,BAWE,system
12521,BAWE,summer
12522,BAWE,house
12523,BAWE,winter
12524,BAWE,humidity
12525,BAWE,levels
12526,BAWE,level
12527,BAWE,year
12528,BAWE,hand
12529,BAWE,thermostats
12530,BAWE,temperature
12531,BAWE,rooms
12532,BAWE,floors
12533,BAWE,Bathrooms
12534,BAWE,kitchen
12535,BAWE,under-floor
12536,BAWE,heating
12537,BAWE,heating
12538,BAWE,elements
12539,BAWE,floor
12540,BAWE,temperature
12541,BAWE,wall
12542,BAWE,coverings
12543,BAWE,colours
12544,BAWE,dissipation
12545,BAWE,colours
12546,BAWE,moods
12547,BAWE,people
12548,BAWE,sauna
12549,BAWE,room
12550,BAWE,tub/whirlpool
12551,BAWE,bath
12552,BAWE,stairs
12553,BAWE,rooms
12554,BAWE,master
12555,BAWE,bedroom
12556,BAWE,Living
12557,BAWE,kitchen
12558,BAWE,day
12559,BAWE,appliances
12560,BAWE,fridge/freezer
12561,BAWE,dishwasher
12562,BAWE,washing
12563,BAWE,machine
12564,BAWE,dryer
12565,BAWE,microwave
12566,BAWE,oven
12567,BAWE,halogen
12568,BAWE,hob
12569,BAWE,appliances
12570,BAWE,energy
12571,BAWE,label
12572,BAWE,system
12573,BAWE,appliances
12574,BAWE,fridge
12575,BAWE,Entertainment
12576,BAWE,sockets
12577,BAWE,rooms
12578,BAWE,house
12579,BAWE,router
12580,BAWE,wireless
12581,BAWE,802.11g
12582,BAWE,technology
12583,BAWE,laptops
12584,BAWE,wireless
12585,BAWE,devices
12586,BAWE,Rooms
12587,BAWE,hifi
12588,BAWE,systems
12589,BAWE,Apple
12590,BAWE,Airport
12591,BAWE,Express
12592,BAWE,Airtunes
12593,BAWE,rooms
12594,BAWE,cable
12595,BAWE,television
12596,BAWE,sockets
12597,BAWE,Energy
12598,BAWE,Efficiency
12599,BAWE,power
12600,BAWE,roof
12601,BAWE,Roof
12602,BAWE,Tiles
12603,BAWE,project
12604,BAWE,money
12605,BAWE,object
12606,BAWE,roof
12607,BAWE,money
12608,BAWE,factor
12609,BAWE,portion
12610,BAWE,side
12611,BAWE,side
12612,BAWE,0.6
12613,BAWE,power
12614,BAWE,side
12615,BAWE,Wind
12616,BAWE,Energy
12617,BAWE,house
12618,BAWE,aches
12619,BAWE,land
12620,BAWE,location
12621,BAWE,wind
12622,BAWE,speed
12623,BAWE,power
12624,BAWE,wind
12625,BAWE,turbine
12626,BAWE,farm
12627,BAWE,average
12628,BAWE,money
12629,BAWE,electricity
12630,BAWE,bills
12631,BAWE,cost
12632,BAWE,turbines
12633,BAWE,electricity
12634,BAWE,energy
12635,BAWE,supplier
12636,BAWE,Water
12637,BAWE,Usage
12638,BAWE,waste
12639,BAWE,water
12640,BAWE,bath
12641,BAWE,showers
12642,BAWE,sinks
12643,BAWE,dishwasher
12644,BAWE,rainwater
12645,BAWE,tank
12646,BAWE,sludge
12647,BAWE,soap
12648,BAWE,scum
12649,BAWE,toilets
12650,BAWE,drinking
12651,BAWE,quality
12652,BAWE,water
12653,BAWE,toilets
12654,BAWE,money
12655,BAWE,utility
12656,BAWE,bills
12657,BAWE,energy
12658,BAWE,chemicals
12659,BAWE,water
12660,BAWE,Integration
12661,BAWE,systems
12662,BAWE,systems
12663,BAWE,computer
12664,BAWE,management
12665,BAWE,systems
12666,BAWE,data
12667,BAWE,configurations
12668,BAWE,Acknowledgements
12669,BAWE,essay
12670,BAWE,extent
12671,BAWE,models
12672,BAWE,class
12673,BAWE,Travel
12674,BAWE,leisure
12675,BAWE,form
12676,BAWE,extent
12677,BAWE,inequalities
12678,BAWE,evidence
12679,BAWE,understanding
12680,BAWE,knowledge
12681,BAWE,situation
12682,BAWE,Tourism
12683,BAWE,leisure
12684,BAWE,activity
12685,BAWE,classes
12686,BAWE,mass
12687,BAWE,population
12688,BAWE,holidays
12689,BAWE,home
12690,BAWE,innovation
12691,BAWE,century
12692,BAWE,aristocracy
12693,BAWE,Journeying
12694,BAWE,resorts
12695,BAWE,spas
12696,BAWE,century
12697,BAWE,extension
12698,BAWE,pattern
12699,BAWE,living
12700,BAWE,employment
12701,BAWE,structure
12702,BAWE,form
12703,BAWE,travel
12704,BAWE,time
12705,BAWE,servants
12706,BAWE,period
12707,BAWE,principle
12708,BAWE,distance
12709,BAWE,tourists
12710,BAWE,service
12711,BAWE,tourist
12712,BAWE,travel
12713,BAWE,nature
12714,BAWE,expansion
12715,BAWE,travel
12716,BAWE,tourism
12717,BAWE,form
12718,BAWE,leisure
12719,BAWE,classes
12720,BAWE,occurrence
12721,BAWE,people
12722,BAWE,holidays
12723,BAWE,0.04
12724,BAWE,increase
12725,BAWE,number
12726,BAWE,residents
12727,BAWE,visits
12728,BAWE,statistics
12729,BAWE,classes
12730,BAWE,people
12731,BAWE,strata
12732,BAWE,class
12733,BAWE,positions
12734,BAWE,kind
12735,BAWE,leisure
12736,BAWE,opportunities
12737,BAWE,experiences
12738,BAWE,opportunity
12739,BAWE,backing
12740,BAWE,issue
12741,BAWE,increase
12742,BAWE,amount
12743,BAWE,income
12744,BAWE,people
12745,BAWE,emergence
12746,BAWE,chav
12747,BAWE,class
12748,BAWE,fact
12749,BAWE,people
12750,BAWE,home
12751,BAWE,freedoms
12752,BAWE,income
12753,BAWE,travel
12754,BAWE,responsibilities
12755,BAWE,jobs
12756,BAWE,Easter
12757,BAWE,period
12758,BAWE,record
12759,BAWE,million
12760,BAWE,news
12761,BAWE,popularity
12762,BAWE,classes
12763,BAWE,tourism
12764,BAWE,growth
12765,BAWE,area
12766,BAWE,recreation
12767,BAWE,holidays
12768,BAWE,destinations
12769,BAWE,introduction
12770,BAWE,cost
12771,BAWE,airlines
12772,BAWE,reason
12773,BAWE,flights
12774,BAWE,people
12775,BAWE,chance
12776,BAWE,news
12777,BAWE,website
12778,BAWE,cost
12779,BAWE,carriers
12780,BAWE,offer
12781,BAWE,flights
12782,BAWE,sun
12783,BAWE,competitors
12784,BAWE,customers
12785,BAWE,opportunity
12786,BAWE,increase
12787,BAWE,interest
12788,BAWE,Tourism
12789,BAWE,leisure
12790,BAWE,industries
12791,BAWE,range
12792,BAWE,holiday
12793,BAWE,possibilities
12794,BAWE,location
12795,BAWE,cost
12796,BAWE,appeal
12797,BAWE,drive
12798,BAWE,change
12799,BAWE,continuation
12800,BAWE,fashion
12801,BAWE,lifestyle
12802,BAWE,factors
12803,BAWE,tourism
12804,BAWE,opportunities
12805,BAWE,proportion
12806,BAWE,population
12807,BAWE,days
12808,BAWE,sense
12809,BAWE,people
12810,BAWE,travel
12811,BAWE,agents
12812,BAWE,home
12813,BAWE,Internet
12814,BAWE,people
12815,BAWE,holidays
12816,BAWE,needs
12817,BAWE,tourist
12818,BAWE,industry
12819,BAWE,billion
12820,BAWE,pounds
12821,BAWE,million
12822,BAWE,tour
12823,BAWE,holidays
12824,BAWE,million
12825,BAWE,visits
12826,BAWE,increase
12827,BAWE,demand
12828,BAWE,travel
12829,BAWE,holiday
12830,BAWE,companies
12831,BAWE,competition
12832,BAWE,deals
12833,BAWE,flights
12834,BAWE,result
12835,BAWE,people
12836,BAWE,report
12837,BAWE,World
12838,BAWE,groups
12839,BAWE,role
12840,BAWE,0.29
12841,BAWE,trip
12842,BAWE,0.1
12843,BAWE,respondents
12844,BAWE,report
12845,BAWE,world
12846,BAWE,holidays
12847,BAWE,Travel
12848,BAWE,leisure
12849,BAWE,activity
12850,BAWE,classes
12851,BAWE,popularisation
12852,BAWE,travel
12853,BAWE,industrialization
12854,BAWE,growth
12855,BAWE,classes
12856,BAWE,shortening
12857,BAWE,week
12858,BAWE,people
12859,BAWE,time
12860,BAWE,leisure
12861,BAWE,activities
12862,BAWE,places
12863,BAWE,trend
12864,BAWE,tourism
12865,BAWE,class
12866,BAWE,structure
12867,BAWE,class
12868,BAWE,tourist
12869,BAWE,class
12870,BAWE,economy
12871,BAWE,class
12872,BAWE,societies
12873,BAWE,Class
12874,BAWE,fact
12875,BAWE,classes
12876,BAWE,days
12877,BAWE,change
12878,BAWE,holiday
12879,BAWE,destinations
12880,BAWE,attempt
12881,BAWE,emergence
12882,BAWE,generation
12883,BAWE,chavs
12884,BAWE,comments
12885,BAWE,chaveller
12886,BAWE,classes
12887,BAWE,locations
12888,BAWE,world
12889,BAWE,class
12890,BAWE,divide
12891,BAWE,travel
12892,BAWE,element
12893,BAWE,snobbery
12894,BAWE,classes
12895,BAWE,appeal
12896,BAWE,crowd
12897,BAWE,view
12898,BAWE,perception
12899,BAWE,continuum
12900,BAWE,values
12901,BAWE,society
12902,BAWE,vacation
12903,BAWE,desires
12904,BAWE,society
12905,BAWE,norms
12906,BAWE,values
12907,BAWE,part
12908,BAWE,market
12909,BAWE,tourism
12910,BAWE,choices
12911,BAWE,people
12912,BAWE,holiday
12913,BAWE,destination
12914,BAWE,class
12915,BAWE,percent
12916,BAWE,population
12917,BAWE,holiday
12918,BAWE,home
12919,BAWE,years
12920,BAWE,Travel
12921,BAWE,Trends
12922,BAWE,survey
12923,BAWE,number
12924,BAWE,holiday
